^((?![zZ][0-9]+)(?![pP][0-9]+)).*([vV][0-9]+).*$
ABS,(vector) Absolute value page 9-12
ADD,(vector) Add page 9-13
ADDHN,(vector) Add returning high narrow page 9-14
ADDHN2,(vector) Add returning high narrow page 9-14
ADDP,(vector) Add pairwise page 9-15
ADDV,(vector) Add across vector page 9-16
AND,(vector) Bitwise AND page 9-17
BIC,(vector; immediate) Bitwise bit clear (immediate) page 9-18
BIC,(vector; register) Bitwise bit clear (register) page 9-19
BIF,(vector) Bitwise insert if false page 9-20
BIT,(vector) Bitwise insert if true page 9-21
BSL,(vector) Bitwise select page 9-22
CLS,(vector) Count leading sign bits page 9-23
CLZ,(vector) Count leading zero bits page 9-24
CMEQ,(vector; register) Compare bitwise equal; setting destination vector element to all ones if the condition holds; else zero
CMEQ,(vector; zero) Compare bitwise equal to zero; setting destination vector element to all ones if the condition holds; else zero
CMGE,(vector; register) Compare signed greater than or equal page 9-27
CMGE,(vector; zero) Compare signed greater than or equal to zero; setting destination vector element to all ones if the condition holds; else zero
CMGT,(vector; register) Compare signed greater than; setting destination vector element to all ones if the condition holds; else zero
CMGT,(vector; zero) Compare signed greater than zero; setting destination vector element to all ones if the condition holds; else zero
CMHI,(vector; register) Compare unsigned higher; setting destination vector element to all ones if the condition holds; else zero
CMHS,(vector; register) Compare unsigned higher or same; setting destination vector element to all ones if the condition holds; else zero
CMLE,(vector; zero) Compare signed less than or equal to zero; setting destination vector element to all ones if the condition holds; else zero
CMLT,(vector; zero) Compare signed less than zero; setting destination vector element to all ones if the condition holds; else zero
CMTST,(vector) Compare bitwise test bits nonzero; setting destination vector element to all ones if the condition holds; else zero
CNT,(vector) Population count per byte page 9-36
DUP,(vector; element) Duplicate vector element to vector page 9-37
DUP,(vector) Duplicate general-purpose register to vector page 9-38
EOR,(vector) Bitwise exclusive OR page 9-39
EXT,(vector) Extract vector from pair of vectors page 9-40
FABD,(vector) Floating-point absolute difference page 9-41
FABS,(vector) Floating-point absolute value page 9-42
FACGE,(vector) Floating-point absolute compare greater than or equal page 9-43
FACGT,(vector) Floating-point absolute compare greater than page 9-44
FADD,(vector) Floating-point add page 9-45
FADDP,(vector) Floating-point add pairwise page 9-46
FCMEQ,(vector; register) Floating-point compare equal; setting destination vector element to all ones if the condition holds; else zero
FCMEQ,(vector; zero) Floating-point compare equal to zero; setting destination vector element to all ones if the condition holds; else zero
FCMGE,(vector; register) Floating-point compare greater than or equal; setting destination vector element to all ones if the condition holds; else zero
FCMGE,(vector; zero) Floating-point compare greater than or equal to zero; setting destination vector element to all ones if the condition holds; else zero
FCMGT,(vector; register) Floating-point compare greater than; setting destination vector element to all ones if the condition holds; else zero
FCMGT,(vector; zero) Floating-point compare greater than zero; setting destination vector element to all ones if the condition holds; else zero
FCMLE,(vector; zero) Floating-point compare less than or equal to zero; setting destination vector element to all ones if the condition holds; else zero
FCMLT,(vector; zero) Floating-point compare less than zero; setting destination vector element to all ones if the condition holds; else zero
FCVTAS,(vector) Floating-point convert to signed integer; rounding to nearest with ties to away
FCVTAU,(vector) Floating-point convert to unsigned integer; rounding to nearest with ties to away
FCVTL,(vector) Floating-point convert to higher precision long page 9-57
FCVTL2,(vector) Floating-point convert to higher precision long page 9-57
FCVTMS,(vector) Floating-point convert to signed integer; rounding toward minus infinity
FCVTMU,(vector) Floating-point convert to unsigned integer; rounding toward minus infinity
FCVTN,(vector) Floating-point convert to lower precision narrow page 9-60
FCVTN2,(vector) Floating-point convert to lower precision narrow page 9-60
FCVTNS,(vector) Floating-point convert to signed integer; rounding to nearest with ties to even
FCVTNU,(vector) Floating-point convert to unsigned integer; rounding to nearest with ties to even
FCVTPS,(vector) Floating-point convert to signed integer; rounding toward positive infinity
FCVTPU,(vector) Floating-point convert to unsigned integer; rounding toward positive infinity
FCVTXN,(vector) Floating-point convert to lower precision narrow; rounding to odd
FCVTXN2,(vector) Floating-point convert to lower precision narrow; rounding to odd
FCVTZS,(vector; fixed-point) Floating-point convert to signed fixed-point; rounding toward zero
FCVTZS,(vector; integer) Floating-point convert to signed integer; rounding toward zero
FCVTZU,(vector; fixed-point) Floating-point convert to unsigned fixed-point; rounding toward zero
FCVTZU,(vector; integer) Floating-point convert to unsigned integer; rounding toward zero
FDIV,(vector) Floating-point divide page 9-70
FMAX,(vector) Floating-point maximum page 9-71
FMAXNM,(vector) Floating-point maximum number page 9-72
FMAXNMP,(vector) Floating-point maximum number pairwise page 9-73
FMAXNMV,(vector) Floating-point maximum number across vector page 9-74
FMAXP,(vector) Floating-point maximum pairwise page 9-75
FMAXV,(vector) Floating-point maximum across vector page 9-76
FMIN,(vector) Floating-point minimum page 9-77
FMINNM,(vector) Floating-point minimum number page 9-78
FMINNMP,(vector) Floating-point minimum number pairwise page 9-79
FMINNMV,(vector) Floating-point minimum number across vector page 9-80
FMINP,(vector) Floating-point minimum pairwise page 9-81
FMINV,(vector) Floating-point minimum across vector page 9-82
